0:0:0:0:0:0:0:1 - - [27/May/2022:10:53:51 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [27/May/2022:10:55:16 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [27/May/2022:11:10:09 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [27/May/2022:11:10:09 +0900] "GET /ch01-HTML/images/%EC%B9%A8%EC%B0%A9%EB%A7%A8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:12:34 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [27/May/2022:11:19:58 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [27/May/2022:11:19:58 +0900] "GET /ch01-HTML/images/%EC%B9%A8%EC%B0%A9%EB%A7%A8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:20:23 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [27/May/2022:11:20:48 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [27/May/2022:11:22:01 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 2667
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:31 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:31 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:33 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:33 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:34 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:34 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:34 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:34 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:49 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:49 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:51 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:51 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:52 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:52 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:52 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:52 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:53 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:53 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:53 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:53 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:54 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:54 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:54 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:54 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:54 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:54 +0900] "GET /ch01-HTML/ch01-basic/blue HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:54 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [27/May/2022:11:23:54 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2022:11:24:24 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [27/May/2022:11:26:00 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 2811
0:0:0:0:0:0:0:1 - - [27/May/2022:11:26:24 +0900] "GET /ch01-HTML/ch01-basic/s11_resume.html HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [27/May/2022:11:26:24 +0900] "GET /ch01-HTML/images/%EC%B9%A8%EC%B0%A9%EB%A7%A8.jpg HTTP/1.1" 304 -
