0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:14:14 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:15:48 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:18:12 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:18:44 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:21:15 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:23:13 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:26:29 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:26:31 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:26:32 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:26:32 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:26:42 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:27:33 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:29:36 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:29:37 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:29:37 +0900] "GET /ch01-HTML/ch13-cssTable/s01_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:36:04 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:38:24 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:41:32 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:42:26 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:42:46 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:45:05 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:46:27 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:47:09 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:50:12 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:50:25 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [02/Jun/2022:14:50:41 +0900] "GET /ch01-HTML/ch13-cssTable/s02_table.html HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:03 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:28 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:29 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:29 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:29 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:30 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:30 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:30 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:30 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:30 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:31 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:31 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:48 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:49 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:49 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:49 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:49 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:57 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:57 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:57 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:57 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:18:58 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:19:01 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:20:19 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:22:14 +0900] "GET /ch01-HTML/ch14-float/s01_float.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:34:09 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:35:18 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:35:32 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:35:54 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:35:55 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:36:25 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:39:36 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:39:44 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:39:44 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:39:57 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:39:58 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:39:58 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:39:59 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:39:59 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:39:59 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:40:16 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [02/Jun/2022:15:43:14 +0900] "GET /ch01-HTML/ch14-float/s02_float.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [02/Jun/2022:16:19:45 +0900] "GET /ch01-HTML/ch14-float/s03_poster.html HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [02/Jun/2022:16:21:31 +0900] "GET /ch01-HTML/ch14-float/s03_poster.html HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [02/Jun/2022:16:22:00 +0900] "GET /ch01-HTML/ch14-float/s03_poster.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [02/Jun/2022:16:22:07 +0900] "GET /ch01-HTML/ch14-float/s03_poster.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [02/Jun/2022:16:22:15 +0900] "GET /ch01-HTML/ch14-float/s03_poster.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [02/Jun/2022:16:24:39 +0900] "GET /ch01-HTML/ch14-float/s03_poster.html HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [02/Jun/2022:16:24:54 +0900] "GET /ch01-HTML/ch14-float/s03_poster.html HTTP/1.1" 200 640
